source_file,match_id,round_number,kill_index,map,local_team_side,att_money,def_money,economy_diff,att_ults_ready,def_ults_ready,score_won,score_lost,score_diff,att_alive,def_alive,alive_diff,att_kills,def_kills,kill_diff,spike_planted,winner
match2.json,f1ae6f1f-9a5b-4be0-a26b-73a6aa50c1ee,20,4,Triad,attack,26250,4550,21700,1,1,12,7,5,4,2,2,3,1,2,1,allies
match2.json,f1ae6f1f-9a5b-4be0-a26b-73a6aa50c1ee,20,5,Triad,attack,26250,4550,21700,1,1,12,7,5,4,1,3,4,1,3,1,allies
match2.json,f1ae6f1f-9a5b-4be0-a26b-73a6aa50c1ee,20,6,Triad,attack,26250,4550,21700,1,1,12,7,5,3,1,2,4,2,2,1,allies
match2.json,f1ae6f1f-9a5b-4be0-a26b-73a6aa50c1ee,20,7,Triad,attack,26250,4550,21700,1,1,12,7,5,2,1,1,4,3,1,1,allies
match2.json,f1ae6f1f-9a5b-4be0-a26b-73a6aa50c1ee,20,8,Triad,attack,26250,4550,21700,1,1,12,7,5,2,0,2,5,3,2,1,allies
match2.json,70a3da90-f3a6-47f3-8b22-e93f44845b16,1,1,Bonsai,attack,0,0,0,0,0,13,7,6,5,4,1,1,0,1,0,allies
match2.json,70a3da90-f3a6-47f3-8b22-e93f44845b16,1,2,Bonsai,attack,0,0,0,0,0,13,7,6,4,4,0,1,1,0,1,allies
match2.json,70a3da90-f3a6-47f3-8b22-e93f44845b16,1,3,Bonsai,attack,0,0,0,0,0,13,7,6,4,3,1,2,1,1,1,allies
match2.json,70a3da90-f3a6-47f3-8b22-e93f44845b16,1,4,Bonsai,attack,0,0,0,0,0,13,7,6,3,3,0,2,2,0,1,allies
match2.json,70a3da90-f3a6-47f3-8b22-e93f44845b16,1,5,Bonsai,attack,0,0,0,0,0,13,7,6,3,2,1,3,2,1,1,allies
match2.json,70a3da90-f3a6-47f3-8b22-e93f44845b16,1,6,Bonsai,attack,0,0,0,0,0,13,7,6,2,2,0,3,3,0,1,allies
match2.json,70a3da90-f3a6-47f3-8b22-e93f44845b16,1,7,Bonsai,attack,0,0,0,0,0,13,7,6,1,2,-1,3,4,-1,1,allies
match2.json,70a3da90-f3a6-47f3-8b22-e93f44845b16,2,1,Bonsai,attack,11100,4000,7100,0,0,0,1,-1,5,4,1,1,0,1,0,
match2.json,70a3da90-f3a6-47f3-8b22-e93f44845b16,2,2,Bonsai,attack,11100,4000,7100,0,0,0,1,-1,4,4,0,1,1,0,1,
match2.json,70a3da90-f3a6-47f3-8b22-e93f44845b16,2,3,Bonsai,attack,11100,4000,7100,0,0,0,1,-1,4,3,1,2,1,1,1,
match2.json,70a3da90-f3a6-47f3-8b22-e93f44845b16,2,4,Bonsai,attack,11100,4000,7100,0,0,0,1,-1,3,3,0,2,2,0,1,
match2.json,70a3da90-f3a6-47f3-8b22-e93f44845b16,2,5,Bonsai,attack,11100,4000,7100,0,0,0,1,-1,2,3,-1,2,3,-1,1,
match2.json,70a3da90-f3a6-47f3-8b22-e93f44845b16,2,6,Bonsai,attack,11100,4000,7100,0,0,0,1,-1,2,2,0,3,3,0,1,
match2.json,70a3da90-f3a6-47f3-8b22-e93f44845b16,2,7,Bonsai,attack,11100,4000,7100,0,0,0,1,-1,1,2,-1,3,4,-1,1,
match2.json,70a3da90-f3a6-47f3-8b22-e93f44845b16,3,1,Bonsai,attack,4900,16300,-11400,0,0,0,2,-2,5,4,1,1,0,1,0,enemies
match2.json,70a3da90-f3a6-47f3-8b22-e93f44845b16,3,2,Bonsai,attack,4900,16300,-11400,0,0,0,2,-2,5,3,2,2,0,2,0,enemies
match2.json,70a3da90-f3a6-47f3-8b22-e93f44845b16,3,3,Bonsai,attack,4900,16300,-11400,0,0,0,2,-2,5,2,3,3,0,3,0,enemies
match2.json,70a3da90-f3a6-47f3-8b22-e93f44845b16,3,4,Bonsai,attack,4900,16300,-11400,0,0,0,2,-2,5,1,4,4,0,4,0,enemies
match2.json,70a3da90-f3a6-47f3-8b22-e93f44845b16,3,5,Bonsai,attack,4900,16300,-11400,0,0,0,2,-2,5,0,5,5,0,5,0,enemies
match2.json,70a3da90-f3a6-47f3-8b22-e93f44845b16,4,1,Bonsai,attack,22150,19550,2600,1,1,1,2,-1,5,4,1,1,0,1,0,allies
match2.json,70a3da90-f3a6-47f3-8b22-e93f44845b16,4,2,Bonsai,attack,22150,19550,2600,1,1,1,2,-1,4,4,0,1,1,0,1,allies
