round_number,kill_index,map,local_team_side,att_money,def_money,economy_diff,att_ults_ready,def_ults_ready,score_won,score_lost,score_diff,att_alive,def_alive,alive_diff,att_kills,def_kills,kill_diff,spike_planted,winner,att_full_buy,def_full_buy,att_eco,def_eco,ult_adv,alive_ratio,kill_progress
17,6,1,1,13050,16450,-3400,0,1,9,7,2,3,1,2,4,2,2,1,0,0,0,0,0,-1,0.75,0.6
17,7,1,1,13050,16450,-3400,0,1,9,7,2,2,1,1,4,3,1,1,0,0,0,0,0,-1,0.6666666666666666,0.7
18,1,1,1,9500,20750,-11250,1,3,10,7,3,5,4,1,1,0,1,0,1,0,1,1,0,-2,0.5555555555555556,0.1
18,2,1,1,9500,20750,-11250,1,3,10,7,3,4,4,0,1,1,0,0,1,0,1,1,0,-2,0.5,0.2
18,3,1,1,9500,20750,-11250,1,3,10,7,3,3,4,-1,1,2,-1,0,1,0,1,1,0,-2,0.42857142857142855,0.3
18,4,1,1,9500,20750,-11250,1,3,10,7,3,2,4,-2,1,3,-2,0,1,0,1,1,0,-2,0.3333333333333333,0.4
18,5,1,1,9500,20750,-11250,1,3,10,7,3,1,4,-3,1,4,-3,0,1,0,1,1,0,-2,0.2,0.5
19,1,1,1,12800,18800,-6000,3,2,10,8,2,5,4,1,1,0,1,0,0,0,0,0,0,1,0.5555555555555556,0.1
19,2,1,1,12800,18800,-6000,3,2,10,8,2,5,3,2,2,0,2,1,0,0,0,0,0,1,0.625,0.2
19,3,1,1,12800,18800,-6000,3,2,10,8,2,4,3,1,2,1,1,1,0,0,0,0,0,1,0.5714285714285714,0.3
19,4,1,1,12800,18800,-6000,3,2,10,8,2,4,2,2,3,1,2,1,0,0,0,0,0,1,0.6666666666666666,0.4
19,5,1,1,12800,18800,-6000,3,2,10,8,2,3,2,1,3,2,1,1,0,0,0,0,0,1,0.6,0.5
19,6,1,1,12800,18800,-6000,3,2,10,8,2,3,1,2,4,2,2,1,0,0,0,0,0,1,0.75,0.6
19,7,1,1,12800,18800,-6000,3,2,10,8,2,3,0,3,5,2,3,1,0,0,0,0,0,1,1.0,0.7
20,1,1,1,11650,18550,-6900,4,2,11,8,3,5,4,1,1,0,1,0,1,0,0,0,0,2,0.5555555555555556,0.1
20,2,1,1,11650,18550,-6900,4,2,11,8,3,4,4,0,1,1,0,1,1,0,0,0,0,2,0.5,0.2
20,3,1,1,11650,18550,-6900,4,2,11,8,3,4,3,1,2,1,1,1,1,0,0,0,0,2,0.5714285714285714,0.3
20,4,1,1,11650,18550,-6900,4,2,11,8,3,4,2,2,3,1,2,1,1,0,0,0,0,2,0.6666666666666666,0.4
20,5,1,1,11650,18550,-6900,4,2,11,8,3,4,1,3,4,1,3,1,1,0,0,0,0,2,0.8,0.5
20,6,1,1,11650,18550,-6900,4,2,11,8,3,3,1,2,4,2,2,1,1,0,0,0,0,2,0.75,0.6
20,7,1,1,11650,18550,-6900,4,2,11,8,3,3,0,3,5,2,3,1,1,0,0,0,0,2,1.0,0.7
21,1,1,1,24050,18150,5900,3,0,12,8,4,5,4,1,1,0,1,0,1,1,0,0,0,3,0.5555555555555556,0.1
21,2,1,1,24050,18150,5900,3,0,12,8,4,5,3,2,2,0,2,1,1,1,0,0,0,3,0.625,0.2
21,3,1,1,24050,18150,5900,3,0,12,8,4,5,2,3,3,0,3,1,1,1,0,0,0,3,0.7142857142857143,0.3
21,4,1,1,24050,18150,5900,3,0,12,8,4,5,1,4,4,0,4,1,1,1,0,0,0,3,0.8333333333333334,0.4
21,5,1,1,24050,18150,5900,3,0,12,8,4,4,1,3,4,1,3,1,1,1,0,0,0,3,0.8,0.5
21,6,1,1,24050,18150,5900,3,0,12,8,4,3,1,2,4,2,2,1,1,1,0,0,0,3,0.75,0.6
1,1,4,1,0,0,0,0,0,13,8,5,5,4,1,1,0,1,0,1,0,0,1,1,0,0.5555555555555556,0.1
1,2,4,1,0,0,0,0,0,13,8,5,4,4,0,1,1,0,0,1,0,0,1,1,0,0.5,0.2
1,3,4,1,0,0,0,0,0,13,8,5,3,4,-1,1,2,-1,0,1,0,0,1,1,0,0.42857142857142855,0.3
1,4,4,1,0,0,0,0,0,13,8,5,3,3,0,2,2,0,0,1,0,0,1,1,0,0.5,0.4
1,5,4,1,0,0,0,0,0,13,8,5,2,3,-1,2,3,-1,0,1,0,0,1,1,0,0.4,0.5
1,6,4,1,0,0,0,0,0,13,8,5,2,2,0,3,3,0,0,1,0,0,1,1,0,0.5,0.6
1,7,4,1,0,0,0,0,0,13,8,5,1,2,-1,3,4,-1,0,1,0,0,1,1,0,0.3333333333333333,0.7
1,8,4,1,0,0,0,0,0,13,8,5,1,1,0,4,4,0,0,1,0,0,1,1,0,0.5,0.8
1,9,4,1,0,0,0,0,0,13,8,5,0,1,-1,4,5,-1,0,1,0,0,1,1,0,0.0,0.9
3,1,4,1,18450,17050,1400,0,0,0,2,-2,5,4,1,1,0,1,0,0,0,0,0,0,0,0.5555555555555556,0.1
3,2,4,1,18450,17050,1400,0,0,0,2,-2,5,3,2,2,0,2,1,0,0,0,0,0,0,0.625,0.2
3,3,4,1,18450,17050,1400,0,0,0,2,-2,4,3,1,2,1,1,1,0,0,0,0,0,0,0.5714285714285714,0.3
3,4,4,1,18450,17050,1400,0,0,0,2,-2,4,2,2,3,1,2,1,0,0,0,0,0,0,0.6666666666666666,0.4
3,5,4,1,18450,17050,1400,0,0,0,2,-2,4,1,3,4,1,3,1,0,0,0,0,0,0,0.8,0.5
4,1,4,1,18450,23350,-4900,1,0,1,2,-1,4,5,-1,0,1,-1,0,1,0,1,0,0,1,0.4444444444444444,0.1
4,2,4,1,18450,23350,-4900,1,0,1,2,-1,4,4,0,1,1,0,1,1,0,1,0,0,1,0.5,0.2
4,3,4,1,18450,23350,-4900,1,0,1,2,-1,4,3,1,2,1,1,1,1,0,1,0,0,1,0.5714285714285714,0.3
4,4,4,1,18450,23350,-4900,1,0,1,2,-1,4,2,2,3,1,2,1,1,0,1,0,0,1,0.6666666666666666,0.4
4,5,4,1,18450,23350,-4900,1,0,1,2,-1,3,2,1,3,2,1,1,1,0,1,0,0,1,0.6,0.5
4,6,4,1,18450,23350,-4900,1,0,1,2,-1,2,2,0,3,3,0,1,1,0,1,0,0,1,0.5,0.6
4,7,4,1,18450,23350,-4900,1,0,1,2,-1,1,2,-1,3,4,-1,1,1,0,1,0,0,1,0.3333333333333333,0.7
